# z, bin1, bin2, bin3, bin4, bin5, bin6, bin7, bin8, bin9, bin10
0.00 10524.00 25.00 413.00 452.00 266.00 141.00 18.00 13.00 43.00 12.00
0.04 100095.00 1764.00 8085.00 7810.00 5670.00 3047.00 2219.00 1874.00 6213.00 2533.00
0.08 363132.00 12461.00 28934.00 13099.00 11708.00 10588.00 11898.00 14398.00 30248.00 10106.00
0.12 560993.00 37868.00 51447.00 12640.00 11370.00 12815.00 15965.00 25266.00 51687.00 11600.00
0.16 862641.00 85965.00 64031.00 8302.00 7408.00 11538.00 15138.00 27632.00 50579.00 8436.00
0.20 979369.00 179811.00 71456.00 1987.00 1796.00 6532.00 12617.00 22959.00 32582.00 4306.00
0.24 1016072.00 283004.00 77731.00 991.00 154.00 1608.00 7479.00 14438.00 19493.00 2416.00
0.28 996470.00 415069.00 86079.00 1224.00 21.00 204.00 2296.00 6758.00 11055.00 1529.00
0.32 888207.00 673531.00 81070.00 1496.00 12.00 43.00 326.00 2714.00 4186.00 621.00
0.36 598783.00 1041176.00 72827.00 1943.00 19.00 35.00 177.00 1492.00 1225.00 268.00
0.40 331273.00 1374963.00 100150.00 2893.00 204.00 105.00 226.00 548.00 480.00 80.00
0.44 167168.00 1520127.00 251211.00 7439.00 1327.00 338.00 255.00 115.00 436.00 94.00
0.48 74392.00 1208832.00 736061.00 20145.00 3637.00 1171.00 359.00 98.00 740.00 378.00
0.52 28700.00 465173.00 1571150.00 71856.00 11254.00 2334.00 384.00 244.00 1770.00 1797.00
0.56 10151.00 126518.00 1866675.00 291936.00 19607.00 3530.00 597.00 334.00 3681.00 9754.00
0.60 3900.00 44653.00 1594200.00 700049.00 30444.00 5857.00 712.00 329.00 3392.00 21241.00
0.64 1719.00 10233.00 891434.00 1615640.00 80398.00 12616.00 606.00 1796.00 1773.00 13428.00
0.68 69.00 1149.00 347040.00 2168195.00 318860.00 30185.00 2771.00 463.00 600.00 4993.00
0.72 4.00 115.00 153335.00 1541737.00 1224432.00 135243.00 10352.00 27.00 120.00 2805.00
0.76 0.00 22.00 44555.00 607227.00 1948427.00 611749.00 28960.00 50.00 137.00 4028.00
0.80 1.00 5.00 5504.00 219871.00 1724213.00 1263283.00 129001.00 152.00 499.00 4205.00
0.84 0.00 3.00 2916.00 122925.00 1218640.00 1670594.00 335846.00 291.00 371.00 14150.00
0.88 0.00 8.00 3746.00 79236.00 753700.00 1786707.00 655026.00 1904.00 1859.00 15661.00
0.92 2.00 24.00 3419.00 28464.00 313963.00 1425138.00 1225092.00 25202.00 7605.00 38344.00
0.96 3.00 30.00 1240.00 5120.00 53439.00 640498.00 1900435.00 160056.00 26581.00 54553.00
1.00 10.00 21.00 320.00 1591.00 4025.00 99640.00 1735396.00 628134.00 81912.00 89850.00
1.04 4.00 8.00 56.00 316.00 335.00 6217.00 774688.00 1391256.00 227109.00 64402.00
1.08 1.00 9.00 14.00 24.00 61.00 593.00 197237.00 1589851.00 311344.00 51630.00
1.12 15.00 44.00 14.00 13.00 49.00 233.00 73882.00 1403555.00 380300.00 38359.00
1.16 24.00 24.00 7.00 80.00 45.00 121.00 32086.00 994014.00 665219.00 28671.00
1.20 413.00 10.00 3.00 137.00 47.00 42.00 12472.00 668490.00 923063.00 35559.00
1.24 19099.00 9.00 6.00 260.00 61.00 47.00 9536.00 314839.00 1156742.00 39453.00
1.28 29028.00 4.00 2.00 137.00 52.00 50.00 4267.00 50366.00 1100269.00 148211.00
1.32 141.00 9.00 5.00 70.00 22.00 54.00 1958.00 10521.00 637265.00 480743.00
1.36 4314.00 225.00 18.00 258.00 77.00 189.00 7742.00 5798.00 294654.00 791540.00
1.40 27588.00 1047.00 29.00 130.00 78.00 343.00 4012.00 2858.00 155205.00 888323.00
1.44 23348.00 748.00 63.00 347.00 183.00 1143.00 6849.00 3688.00 126484.00 883171.00
1.48 38888.00 1292.00 83.00 306.00 338.00 1955.00 11325.00 6036.00 120941.00 708547.00
1.52 29622.00 1269.00 183.00 956.00 996.00 15914.00 36467.00 7961.00 145901.00 602496.00
1.56 9845.00 1456.00 383.00 1621.00 1558.00 33595.00 113087.00 12861.00 161573.00 459008.00
1.60 19308.00 709.00 443.00 1997.00 2455.00 33969.00 141252.00 17985.00 154822.00 323827.00
1.64 11776.00 920.00 719.00 2293.00 2314.00 22792.00 115061.00 33739.00 177861.00 238170.00
1.68 3425.00 1853.00 1036.00 3290.00 3753.00 19282.00 118913.00 43817.00 184666.00 192809.00
1.72 8049.00 1979.00 849.00 3783.00 4991.00 17531.00 124192.00 43454.00 149158.00 133078.00
1.76 17459.00 4425.00 1298.00 3663.00 3413.00 7701.00 91529.00 42358.00 132137.00 90753.00
1.80 23582.00 3674.00 1520.00 5602.00 4557.00 5531.00 34555.00 34590.00 124518.00 174893.00
1.84 23425.00 2584.00 1449.00 6099.00 3530.00 2950.00 29165.00 36739.00 137409.00 167602.00
1.88 29917.00 4838.00 1113.00 3145.00 1992.00 2665.00 39036.00 23938.00 84709.00 89918.00
1.92 20759.00 1644.00 987.00 2184.00 1786.00 1362.00 27784.00 26668.00 90290.00 118433.00
1.96 18214.00 1292.00 871.00 1749.00 1499.00 1093.00 8746.00 10803.00 72736.00 141449.00
