# z, bin1, bin2, bin3, bin4, bin5, bin6, bin7, bin8, bin9, bin10
0.00 4541.00 0.00 42.00 73.00 25.00 21.00 1.00 0.00 1.00 3.00
0.03 36473.00 386.00 3067.00 3012.00 2002.00 922.00 393.00 280.00 1257.00 402.00
0.06 133914.00 3127.00 10642.00 8580.00 6717.00 4369.00 3905.00 3718.00 10207.00 4226.00
0.09 298823.00 10737.00 23681.00 9696.00 8900.00 8464.00 9836.00 12287.00 25039.00 8020.00
0.12 404225.00 25704.00 36765.00 9630.00 8739.00 9646.00 11951.00 18715.00 38124.00 8836.00
0.15 542322.00 46552.00 46212.00 8227.00 7195.00 9195.00 11819.00 20587.00 40753.00 7644.00
0.18 707919.00 85666.00 50196.00 3896.00 3697.00 7700.00 10830.00 19958.00 33010.00 4924.00
0.21 748537.00 145722.00 53761.00 1176.00 943.00 4344.00 9120.00 16597.00 22961.00 2938.00
0.24 759415.00 200997.00 57287.00 696.00 145.00 1440.00 6240.00 11608.00 15400.00 1860.00
0.27 758103.00 270457.00 62500.00 822.00 22.00 330.00 2808.00 7085.00 10685.00 1451.00
0.30 735312.00 363033.00 65675.00 981.00 11.00 57.00 867.00 3394.00 6001.00 869.00
0.33 647919.00 537117.00 59418.00 1212.00 9.00 28.00 186.00 1823.00 2648.00 386.00
0.36 479424.00 763597.00 54400.00 1442.00 15.00 28.00 127.00 1102.00 1015.00 218.00
0.39 306440.00 908378.00 60912.00 1535.00 58.00 34.00 160.00 640.00 485.00 88.00
0.42 199300.00 1132333.00 99345.00 3121.00 359.00 138.00 176.00 336.00 310.00 58.00
0.45 112060.00 1131958.00 209531.00 6177.00 1118.00 278.00 195.00 77.00 331.00 78.00
0.48 61578.00 966918.00 478126.00 12859.00 2414.00 832.00 264.00 61.00 475.00 200.00
0.51 30165.00 542883.00 950029.00 31599.00 5662.00 1515.00 275.00 111.00 1004.00 750.00
0.54 14859.00 209436.00 1355560.00 94259.00 11215.00 1847.00 334.00 236.00 1730.00 2592.00
0.57 6641.00 81286.00 1390171.00 245220.00 15207.00 2841.00 467.00 268.00 2982.00 8387.00
0.60 3242.00 38604.00 1247543.00 463347.00 21166.00 4400.00 556.00 278.00 2682.00 15745.00
0.63 1755.00 13211.00 889708.00 908684.00 36722.00 6011.00 470.00 548.00 1544.00 13325.00
0.66 649.00 3592.00 464835.00 1479647.00 94301.00 14102.00 500.00 1402.00 1143.00 7245.00
0.69 42.00 628.00 230588.00 1632206.00 277513.00 24145.00 2563.00 360.00 396.00 3347.00
0.72 4.00 101.00 127004.00 1253740.00 787987.00 76578.00 6208.00 21.00 97.00 2009.00
0.75 0.00 28.00 57819.00 670696.00 1396894.00 287897.00 14156.00 21.00 75.00 2526.00
0.78 0.00 11.00 15404.00 297150.00 1460912.00 638621.00 43964.00 54.00 113.00 3076.00
0.81 1.00 2.00 3167.00 147249.00 1251279.00 1007179.00 103985.00 133.00 471.00 3427.00
0.84 0.00 3.00 2150.00 96156.00 968559.00 1215725.00 217868.00 140.00 179.00 9186.00
0.87 0.00 3.00 2546.00 71701.00 672116.00 1363739.00 410579.00 718.00 855.00 11261.00
0.90 0.00 10.00 3058.00 46027.00 452615.00 1304656.00 605355.00 3232.00 1894.00 15662.00
0.93 2.00 19.00 2327.00 16741.00 193013.00 998319.00 982162.00 23307.00 6907.00 32046.00
0.96 2.00 25.00 1068.00 4611.00 49089.00 544808.00 1374123.00 100846.00 18878.00 43557.00
0.99 6.00 21.00 427.00 1821.00 7776.00 178026.00 1482147.00 273302.00 37994.00 46104.00
1.02 5.00 6.00 73.00 327.00 679.00 20197.00 1047736.00 726652.00 90438.00 70712.00
1.05 4.00 7.00 48.00 268.00 255.00 3324.00 506513.00 1078646.00 188292.00 48432.00
1.08 1.00 5.00 9.00 21.00 53.00 526.00 165534.00 1198861.00 227662.00 47139.00
1.11 2.00 9.00 8.00 3.00 28.00 186.00 73690.00 1132288.00 248730.00 25666.00
1.14 14.00 53.00 15.00 13.00 41.00 158.00 42595.00 948673.00 360202.00 24271.00
1.17 23.00 10.00 3.00 80.00 33.00 77.00 21386.00 707598.00 520269.00 21584.00
1.20 146.00 9.00 3.00 133.00 38.00 37.00 10948.00 538844.00 667072.00 29872.00
1.23 4859.00 4.00 3.00 55.00 34.00 25.00 4362.00 314732.00 846507.00 20912.00
1.26 24680.00 6.00 3.00 217.00 42.00 32.00 8827.00 153916.00 847947.00 39575.00
1.29 18855.00 4.00 2.00 129.00 46.00 45.00 2138.00 26203.00 818548.00 132864.00
1.32 85.00 5.00 4.00 59.00 17.00 39.00 1565.00 8622.00 530680.00 318151.00
1.35 129.00 21.00 8.00 165.00 47.00 87.00 3235.00 4703.00 281221.00 566297.00
1.38 12603.00 498.00 20.00 129.00 51.00 166.00 6270.00 4097.00 162560.00 594340.00
1.41 19226.00 757.00 20.00 105.00 62.00 294.00 2642.00 1755.00 112663.00 681818.00
1.44 19008.00 639.00 51.00 262.00 132.00 855.00 4760.00 2473.00 103606.00 679453.00
1.47 18841.00 526.00 59.00 213.00 190.00 1109.00 7505.00 3864.00 73909.00 590454.00
1.50 37186.00 1446.00 61.00 280.00 352.00 2197.00 9910.00 5082.00 105460.00 475991.00
1.53 16823.00 698.00 158.00 854.00 843.00 14851.00 32466.00 6266.00 110351.00 448316.00
1.56 7056.00 1097.00 294.00 1297.00 1253.00 26231.00 75272.00 9190.00 127440.00 358455.00
1.59 9695.00 846.00 307.00 1159.00 1410.00 24262.00 111054.00 11851.00 105825.00 277047.00
1.62 19164.00 366.00 376.00 1733.00 1910.00 23291.00 94827.00 16122.00 125676.00 215808.00
1.65 5014.00 776.00 568.00 1722.00 1754.00 16572.00 88247.00 27422.00 135315.00 169695.00
1.68 2632.00 1572.00 828.00 2523.00 2909.00 15584.00 90286.00 31095.00 140802.00 148912.00
1.71 2598.00 817.00 569.00 2430.00 3020.00 11874.00 87080.00 36246.00 125344.00 118614.00
1.74 11344.00 2631.00 860.00 3186.00 3936.00 12688.00 94954.00 30664.00 99393.00 80796.00
1.77 12359.00 3237.00 926.00 2597.00 2292.00 4368.00 62314.00 31624.00 100422.00 68318.00
1.80 15835.00 2593.00 1137.00 4407.00 3682.00 4304.00 27053.00 23371.00 92591.00 127833.00
1.83 20441.00 2366.00 1079.00 4199.00 2735.00 2916.00 22237.00 32043.00 103157.00 137783.00
1.86 16118.00 2317.00 1036.00 4015.00 2186.00 2008.00 24236.00 22634.00 90847.00 101062.00
1.89 24530.00 3820.00 830.00 2225.00 1476.00 1918.00 29230.00 17219.00 60041.00 65735.00
1.92 16500.00 1453.00 773.00 1718.00 1326.00 1055.00 21468.00 21016.00 71156.00 93756.00
1.95 12801.00 713.00 663.00 1378.00 1295.00 935.00 13137.00 13106.00 58956.00 98287.00
1.98 14569.00 1169.00 604.00 1162.00 891.00 620.00 2472.00 4495.00 45964.00 94726.00
2.01 25054.00 1945.00 1088.00 1899.00 1231.00 745.00 1352.00 2902.00 28722.00 76620.00
2.04 24800.00 4115.00 1239.00 1620.00 826.00 564.00 1021.00 1619.00 18300.00 70119.00
2.07 24801.00 2903.00 858.00 1029.00 577.00 270.00 481.00 1235.00 12880.00 49589.00
2.10 32295.00 2556.00 1311.00 1494.00 808.00 431.00 465.00 821.00 14599.00 59741.00
2.13 19238.00 2184.00 1716.00 1271.00 948.00 448.00 420.00 652.00 9496.00 44561.00
2.16 19611.00 4776.00 2189.00 2143.00 1106.00 599.00 508.00 903.00 6293.00 42429.00
2.19 22584.00 9441.00 2135.00 2871.00 1274.00 561.00 404.00 561.00 4172.00 37850.00
2.22 14162.00 9373.00 1221.00 1060.00 443.00 263.00 420.00 223.00 2250.00 25067.00
2.25 11864.00 6785.00 1480.00 1178.00 825.00 494.00 686.00 409.00 1922.00 28277.00
2.28 9514.00 5528.00 1255.00 815.00 604.00 463.00 726.00 440.00 1151.00 19716.00
2.31 12616.00 6991.00 2630.00 1118.00 629.00 590.00 726.00 453.00 925.00 19529.00
2.34 18254.00 6877.00 3997.00 2933.00 1686.00 791.00 527.00 405.00 728.00 17083.00
2.37 14113.00 6009.00 3723.00 1966.00 924.00 308.00 240.00 161.00 300.00 9960.00
2.40 9566.00 9850.00 5102.00 2293.00 863.00 512.00 580.00 264.00 408.00 12735.00
2.43 11559.00 13184.00 7555.00 3766.00 1232.00 599.00 734.00 366.00 414.00 15580.00
2.46 6658.00 5750.00 4808.00 2210.00 1034.00 714.00 870.00 431.00 518.00 10851.00
2.49 8103.00 4732.00 5824.00 2747.00 2258.00 1883.00 1937.00 693.00 793.00 16310.00
2.52 8701.00 7187.00 7211.00 3907.00 3585.00 3383.00 3059.00 694.00 613.00 21112.00
2.55 6758.00 6693.00 4890.00 3570.00 2877.00 2224.00 1428.00 322.00 433.00 11902.00
2.58 5674.00 7425.00 7467.00 4096.00 2768.00 1896.00 1333.00 357.00 571.00 13119.00
2.61 3961.00 3130.00 6602.00 2885.00 1954.00 1461.00 1081.00 320.00 351.00 7975.00
2.64 2978.00 2632.00 5103.00 2873.00 1516.00 999.00 735.00 178.00 203.00 5869.00
2.67 3713.00 3396.00 5107.00 2505.00 1630.00 1196.00 774.00 191.00 225.00 5436.00
2.70 4405.00 3226.00 5703.00 3059.00 1162.00 694.00 543.00 316.00 232.00 4851.00
2.73 3788.00 4253.00 9527.00 3197.00 1200.00 779.00 789.00 231.00 173.00 5194.00
2.76 3009.00 3398.00 8119.00 1952.00 882.00 772.00 860.00 227.00 198.00 3999.00
2.79 3076.00 2062.00 5047.00 1226.00 762.00 592.00 563.00 219.00 174.00 2608.00
2.82 3329.00 1178.00 2369.00 1165.00 892.00 587.00 389.00 153.00 122.00 2175.00
2.85 4102.00 820.00 2690.00 2583.00 1108.00 517.00 259.00 154.00 152.00 1173.00
2.88 4907.00 878.00 2233.00 3810.00 939.00 534.00 488.00 196.00 229.00 1397.00
2.91 4239.00 906.00 2591.00 2926.00 879.00 631.00 530.00 158.00 150.00 1248.00
2.94 4663.00 889.00 3183.00 2695.00 974.00 679.00 541.00 155.00 98.00 543.00
2.97 4526.00 914.00 2361.00 2289.00 764.00 582.00 326.00 54.00 60.00 284.00
