# z, bin1, bin2, bin3, bin4, bin5, bin6, bin7, bin8, bin9, bin10
0.00 10529.00 356.00 441.00 310.00 193.00 16.00 33.00 19.00 1.00 11.00
0.04 101774.00 8131.00 8074.00 6656.00 4183.00 2816.00 3760.00 5167.00 849.00 2289.00
0.08 400390.00 43625.00 16257.00 13715.00 16422.00 19477.00 31009.00 27435.00 9237.00 20052.00
0.12 709312.00 127335.00 30178.00 15618.00 23655.00 36281.00 65680.00 58856.00 27479.00 45551.00
0.16 1219468.00 255131.00 45981.00 13824.00 25473.00 45349.00 80576.00 72781.00 43929.00 58825.00
0.20 1611096.00 410862.00 66575.00 9950.00 20767.00 44657.00 69460.00 61741.00 48597.00 52131.00
0.24 1865994.00 571276.00 96889.00 12349.00 16139.00 38573.00 50307.00 49862.00 45569.00 40872.00
0.28 2011028.00 735509.00 132912.00 17364.00 16297.00 31898.00 33990.00 39088.00 41122.00 31038.00
0.32 2170282.00 831115.00 157579.00 21909.00 17166.00 28210.00 21867.00 27720.00 32005.00 22005.00
0.36 2225374.00 908095.00 179716.00 27938.00 20660.00 29253.00 15738.00 21738.00 25726.00 16156.00
0.40 2165151.00 1074042.00 211137.00 40098.00 27394.00 32065.00 12059.00 18526.00 22500.00 12836.00
0.44 1780723.00 1579508.00 272607.00 62008.00 39740.00 35700.00 10009.00 18112.00 20900.00 11529.00
0.48 987282.00 2387628.00 395142.00 100504.00 57429.00 39698.00 8753.00 19880.00 23957.00 11670.00
0.52 494734.00 2756125.00 675397.00 160643.00 77975.00 44481.00 8134.00 23770.00 30002.00 13288.00
0.56 286795.00 2556919.00 1339912.00 242025.00 101274.00 49814.00 8256.00 30659.00 42686.00 17194.00
0.60 172890.00 1897495.00 2213442.00 345366.00 135188.00 58063.00 7878.00 36311.00 58561.00 25828.00
0.64 82722.00 1132533.00 3265856.00 614026.00 201535.00 66934.00 8495.00 36576.00 63811.00 34941.00
0.68 32825.00 651927.00 3536890.00 1386089.00 303935.00 72624.00 5094.00 36608.00 76537.00 43739.00
0.72 13522.00 390760.00 2561947.00 2866578.00 588053.00 82322.00 4341.00 40294.00 101935.00 61090.00
0.76 6272.00 196634.00 1604370.00 3619891.00 1408086.00 120475.00 4994.00 47429.00 132480.00 86829.00
0.80 3601.00 104138.00 1076395.00 3279801.00 2518636.00 198647.00 7463.00 60300.00 166093.00 110378.00
0.84 3347.00 88487.00 813989.00 2609034.00 3291572.00 424772.00 12500.00 88417.00 219686.00 173627.00
0.88 3924.00 90380.00 607777.00 1877521.00 3608834.00 775069.00 25013.00 126220.00 255422.00 253630.00
0.92 5229.00 86577.00 372392.00 1007808.00 3241923.00 1597976.00 76091.00 180026.00 254349.00 350179.00
0.96 6667.00 76208.00 213307.00 458348.00 2074648.00 2962018.00 197032.00 247297.00 237202.00 434403.00
1.00 8820.00 51663.00 97883.00 173302.00 789749.00 3715746.00 577318.00 345722.00 224867.00 516012.00
1.04 8405.00 31725.00 44562.00 71547.00 293844.00 3235619.00 1492621.00 343640.00 181947.00 465929.00
1.08 7509.00 17805.00 20082.00 32834.00 129144.00 1913533.00 2607330.00 323976.00 148731.00 403460.00
1.12 5800.00 10797.00 11151.00 19062.00 72148.00 1068319.00 3152019.00 284678.00 129713.00 364279.00
1.16 5351.00 8200.00 8810.00 15204.00 52491.00 702037.00 3203687.00 353080.00 137420.00 343426.00
1.20 5647.00 8243.00 9607.00 16996.00 50217.00 538009.00 2833306.00 622811.00 167293.00 343338.00
1.24 24976.00 9259.00 13495.00 23062.00 52950.00 408558.00 1854460.00 1401943.00 230702.00 341288.00
1.28 35054.00 10097.00 18633.00 29318.00 50804.00 224747.00 792371.00 2123968.00 383252.00 350977.00
1.32 6789.00 11143.00 23831.00 34977.00 48633.00 139632.00 337411.00 2111239.00 724649.00 336073.00
1.36 10185.00 10245.00 26746.00 38946.00 44775.00 94398.00 154649.00 1688864.00 1219535.00 326167.00
1.40 34046.00 10072.00 31778.00 44192.00 43935.00 65423.00 82440.00 1276259.00 1552516.00 325872.00
1.44 30032.00 12669.00 33655.00 42847.00 47119.00 71541.00 68488.00 963663.00 1588118.00 344555.00
1.48 45914.00 10967.00 29860.00 37870.00 49505.00 88707.00 78579.00 861623.00 1475004.00 372055.00
1.52 34329.00 9276.00 25469.00 33401.00 71234.00 128833.00 85172.00 759850.00 1318128.00 477327.00
1.56 13574.00 9029.00 23772.00 31927.00 104578.00 216539.00 83112.00 602785.00 1079947.00 538464.00
1.60 21721.00 8401.00 22104.00 30465.00 112709.00 288891.00 84615.00 497015.00 869787.00 556309.00
1.64 15371.00 11314.00 22164.00 24910.00 90358.00 268945.00 112679.00 461390.00 693268.00 615544.00
1.68 6907.00 9141.00 16443.00 20036.00 75793.00 282456.00 128246.00 452932.00 589702.00 538228.00
1.72 12362.00 6499.00 12271.00 15722.00 58630.00 261118.00 136255.00 373905.00 525253.00 516961.00
1.76 22806.00 6920.00 11182.00 12052.00 31928.00 214177.00 162230.00 330669.00 458176.00 492851.00
1.80 28371.00 6183.00 11529.00 12379.00 21987.00 132353.00 150344.00 277713.00 487948.00 545533.00
1.84 27000.00 7495.00 10583.00 10685.00 13158.00 95188.00 141211.00 251130.00 413813.00 509323.00
1.88 34123.00 6445.00 7000.00 6048.00 10019.00 114181.00 121897.00 223344.00 396957.00 514439.00
1.92 24924.00 6012.00 7005.00 5100.00 5413.00 79062.00 124278.00 223479.00 394450.00 553550.00
1.96 21944.00 5279.00 6451.00 4341.00 3685.00 33637.00 78223.00 189835.00 408112.00 557622.00
