# z, bin1, bin2, bin3, bin4, bin5, bin6, bin7, bin8, bin9, bin10
0.00 4541.00 28.00 70.00 33.00 30.00 1.00 0.00 1.00 0.00 3.00
0.03 36626.00 2790.00 3100.00 2322.00 1229.00 441.00 683.00 931.00 73.00 300.00
0.06 138662.00 12110.00 9011.00 7840.00 6236.00 5268.00 7432.00 8577.00 1965.00 4707.00
0.09 332864.00 37184.00 12591.00 10486.00 13303.00 16599.00 26687.00 23112.00 8049.00 17342.00
0.12 503071.00 85545.00 21068.00 11649.00 17409.00 26122.00 47521.00 41978.00 19029.00 32803.00
0.15 739997.00 153231.00 30841.00 11562.00 19158.00 32653.00 58530.00 53753.00 29231.00 42249.00
0.18 1047950.00 232119.00 38587.00 8945.00 18360.00 34211.00 59137.00 52639.00 35364.00 43498.00
0.21 1248858.00 322433.00 52238.00 7236.00 14968.00 33301.00 50528.00 45008.00 36381.00 37957.00
0.24 1380400.00 412119.00 69355.00 8858.00 12239.00 29597.00 39213.00 38234.00 34291.00 31453.00
0.27 1474385.00 510860.00 90001.00 11669.00 11970.00 25509.00 29925.00 32592.00 32694.00 26125.00
0.30 1550635.00 586421.00 108101.00 14197.00 12325.00 22583.00 21528.00 25934.00 28358.00 20526.00
0.33 1641884.00 628500.00 119923.00 16898.00 13068.00 20992.00 15498.00 19910.00 23353.00 15811.00
0.36 1692442.00 674590.00 131845.00 20214.00 15078.00 21749.00 12122.00 16704.00 19881.00 12478.00
0.39 1609739.00 731549.00 148113.00 26050.00 18095.00 22930.00 9883.00 14560.00 17611.00 10339.00
0.42 1602939.00 912306.00 172250.00 34571.00 23559.00 25331.00 8453.00 13605.00 16082.00 9248.00
0.45 1266128.00 1243200.00 211252.00 49209.00 31062.00 27008.00 7348.00 13507.00 15552.00 8456.00
0.48 800133.00 1727440.00 278747.00 71327.00 41172.00 29198.00 6598.00 14523.00 17491.00 8606.00
0.51 460177.00 2001211.00 396519.00 100206.00 52848.00 31879.00 6221.00 16318.00 20158.00 9103.00
0.54 303329.00 2094523.00 657618.00 143002.00 64219.00 35013.00 6093.00 19533.00 25163.00 10789.00
0.57 205172.00 1877498.00 1077567.00 188637.00 78439.00 37903.00 6231.00 23935.00 33833.00 13654.00
0.60 139892.00 1508683.00 1554649.00 243352.00 97105.00 42664.00 5991.00 27017.00 42769.00 18180.00
0.63 81434.00 1018178.00 2165924.00 350058.00 125980.00 47987.00 5675.00 27023.00 45659.00 22866.00
0.66 44784.00 691042.00 2650949.00 607796.00 179222.00 51320.00 6055.00 27604.00 49979.00 28441.00
0.69 22327.00 464052.00 2644666.00 1144275.00 238351.00 55650.00 3746.00 27851.00 60502.00 35021.00
0.72 11070.00 312581.00 2030764.00 1994472.00 383100.00 59281.00 3156.00 29372.00 72472.00 42700.00
0.75 5921.00 191329.00 1392628.00 2651047.00 773567.00 77972.00 3484.00 32321.00 84568.00 53353.00
0.78 3881.00 113400.00 1042585.00 2709343.00 1370410.00 105607.00 4245.00 39819.00 116603.00 76981.00
0.81 2523.00 74222.00 776735.00 2411408.00 1987698.00 158584.00 5913.00 46511.00 126865.00 85263.00
0.84 2431.00 65245.00 624026.00 2019020.00 2396278.00 283302.00 8459.00 61226.00 153848.00 115388.00
0.87 2889.00 68956.00 517831.00 1612956.00 2704616.00 487075.00 15031.00 87579.00 197495.00 178922.00
0.90 3143.00 67761.00 396666.00 1190073.00 2691216.00 733317.00 24356.00 104489.00 189382.00 214940.00
0.93 4037.00 63482.00 255635.00 672314.00 2350219.00 1294123.00 65758.00 141369.00 188732.00 268186.00
0.96 5065.00 59836.00 172033.00 374242.00 1676864.00 2090764.00 132392.00 182108.00 184801.00 332164.00
0.99 5898.00 46008.00 101340.00 193990.00 911592.00 2687282.00 262635.00 233267.00 169189.00 350463.00
1.02 6534.00 31027.00 51988.00 86909.00 372867.00 2813797.00 644641.00 265762.00 156576.00 381587.00
1.05 6395.00 22725.00 30391.00 48056.00 196918.00 2321540.00 1227303.00 255522.00 133450.00 352130.00
1.08 5525.00 13796.00 16056.00 26258.00 104420.00 1522841.00 1900323.00 245135.00 111682.00 307387.00
1.11 4974.00 9963.00 10293.00 17202.00 64864.00 989065.00 2236859.00 224990.00 103868.00 282133.00
1.14 4358.00 7233.00 7190.00 12303.00 46033.00 675146.00 2433096.00 213309.00 96642.00 267386.00
1.17 3803.00 5810.00 6504.00 11337.00 38466.00 496837.00 2392758.00 278300.00 103672.00 254259.00
1.20 4093.00 6194.00 7026.00 12349.00 37643.00 424909.00 2207971.00 406235.00 120738.00 266731.00
1.23 8835.00 6468.00 8512.00 15329.00 39158.00 320235.00 1726073.00 823046.00 150356.00 237083.00
1.26 29256.00 7175.00 11679.00 19053.00 39158.00 272525.00 1017125.00 1276372.00 202009.00 266008.00
1.29 23493.00 7762.00 14518.00 22645.00 38012.00 153645.00 528968.00 1643069.00 308144.00 265781.00
1.32 5018.00 8588.00 17573.00 25963.00 36999.00 111531.00 278896.00 1603423.00 494115.00 260975.00
1.35 4804.00 7799.00 19318.00 28253.00 34617.00 78335.00 147842.00 1431408.00 804056.00 237209.00
1.38 17155.00 7451.00 20959.00 30326.00 32696.00 62454.00 90702.00 1113399.00 1004966.00 240316.00
1.41 24043.00 7622.00 24505.00 33573.00 33031.00 47133.00 57060.00 928132.00 1193563.00 249612.00
1.44 23838.00 9662.00 25788.00 32825.00 35360.00 52575.00 50737.00 743472.00 1190086.00 259028.00
1.47 24296.00 8799.00 23362.00 29747.00 36184.00 61299.00 55775.00 656042.00 1176371.00 263980.00
1.50 42380.00 7931.00 21505.00 26997.00 39183.00 73080.00 62030.00 631690.00 1034058.00 306725.00
1.53 19761.00 6520.00 18329.00 24549.00 57131.00 102127.00 63697.00 553932.00 980735.00 364204.00
1.56 9745.00 6444.00 17547.00 24021.00 78489.00 150425.00 62036.00 466866.00 843380.00 400578.00
1.59 12197.00 6825.00 17306.00 23592.00 82698.00 210742.00 62323.00 388650.00 688467.00 410903.00
1.62 20742.00 6766.00 16583.00 21537.00 79593.00 207554.00 67164.00 362468.00 606313.00 435067.00
1.65 7982.00 8709.00 16604.00 18152.00 66865.00 205654.00 88883.00 343206.00 504842.00 463769.00
1.68 5239.00 7054.00 12599.00 15748.00 60803.00 216652.00 92197.00 344373.00 453323.00 403830.00
1.71 5520.00 6024.00 10769.00 12418.00 43784.00 194849.00 107083.00 310512.00 395431.00 407045.00
1.74 15077.00 4149.00 8095.00 11020.00 40752.00 194204.00 102816.00 256567.00 390235.00 363528.00
1.77 16239.00 5333.00 8433.00 8624.00 21012.00 152046.00 124635.00 246054.00 334142.00 373637.00
1.80 19290.00 4567.00 8797.00 9680.00 17446.00 104397.00 111440.00 216758.00 371427.00 412474.00
1.83 23658.00 5210.00 8306.00 8342.00 11724.00 76633.00 112797.00 186405.00 329921.00 386873.00
1.86 18750.00 5526.00 6903.00 6708.00 8910.00 77250.00 99211.00 183217.00 303465.00 383992.00
1.89 27796.00 4820.00 5106.00 4382.00 7084.00 83442.00 90004.00 165807.00 293905.00 385956.00
1.92 19648.00 4645.00 5165.00 3902.00 4316.00 61051.00 95620.00 169725.00 281194.00 407909.00
1.95 15506.00 3922.00 5200.00 3509.00 3007.00 39765.00 71664.00 153967.00 329698.00 438833.00
1.98 17984.00 4158.00 4495.00 2863.00 2474.00 16617.00 52159.00 131395.00 282989.00 391282.00
2.01 30479.00 4860.00 5235.00 3119.00 2071.00 11793.00 49972.00 129855.00 296337.00 357351.00
2.04 31842.00 4446.00 4552.00 2325.00 1394.00 8639.00 44194.00 124195.00 273935.00 360095.00
2.07 33673.00 3675.00 3800.00 1860.00 981.00 5713.00 46101.00 118963.00 246572.00 335060.00
2.10 47483.00 4782.00 4494.00 2180.00 1038.00 4033.00 41293.00 102852.00 245609.00 249546.00
2.13 41006.00 7063.00 4545.00 2423.00 1291.00 3531.00 30068.00 86715.00 220271.00 221325.00
2.16 37476.00 7620.00 5097.00 2557.00 1542.00 3239.00 22305.00 61904.00 204860.00 264688.00
2.19 43597.00 8354.00 5650.00 3003.00 1485.00 3092.00 18309.00 47880.00 181563.00 276633.00
2.22 43082.00 7588.00 4654.00 1802.00 1091.00 2951.00 17417.00 41742.00 156149.00 278559.00
2.25 40856.00 7455.00 4188.00 2097.00 1483.00 2988.00 14714.00 32778.00 139250.00 311112.00
2.28 36246.00 8654.00 4256.00 1895.00 1678.00 3233.00 12326.00 27553.00 119437.00 295237.00
2.31 36848.00 13005.00 6079.00 2271.00 1969.00 2946.00 9831.00 22433.00 110916.00 303366.00
2.34 40674.00 14261.00 8888.00 3978.00 2200.00 2442.00 7336.00 16052.00 89368.00 290996.00
2.37 40777.00 14938.00 7815.00 3016.00 1778.00 2323.00 7082.00 14066.00 73379.00 249256.00
2.40 45394.00 20996.00 9886.00 3372.00 2345.00 2841.00 6685.00 13136.00 71676.00 248157.00
2.43 58020.00 27192.00 10703.00 3410.00 2185.00 2659.00 4968.00 9258.00 58558.00 224551.00
2.46 45443.00 22523.00 8657.00 3281.00 2952.00 2990.00 3773.00 7951.00 58839.00 239043.00
2.49 38228.00 18917.00 8996.00 5339.00 5436.00 4078.00 3155.00 6683.00 58145.00 257223.00
2.52 36029.00 16173.00 8914.00 6293.00 6984.00 4480.00 2428.00 5523.00 54275.00 241309.00
2.55 36777.00 13701.00 8566.00 6300.00 6709.00 3494.00 2261.00 5464.00 52413.00 230355.00
2.58 31576.00 18034.00 10282.00 6142.00 5665.00 3495.00 1945.00 4894.00 50506.00 242317.00
2.61 26642.00 18584.00 9758.00 5461.00 5193.00 3187.00 1727.00 4501.00 46871.00 214424.00
2.64 26416.00 17519.00 10471.00 5033.00 4229.00 2517.00 1554.00 4059.00 44130.00 189291.00
2.67 31228.00 18267.00 12457.00 6109.00 4603.00 2487.00 1458.00 3722.00 41141.00 198714.00
2.70 31958.00 18563.00 12551.00 4534.00 3635.00 2253.00 1435.00 3157.00 32302.00 171324.00
2.73 32207.00 22679.00 11298.00 4314.00 3797.00 2225.00 1285.00 2618.00 30492.00 168178.00
2.76 40853.00 24007.00 10260.00 4143.00 4043.00 2139.00 1377.00 2717.00 33848.00 170770.00
2.79 53158.00 21465.00 8063.00 3890.00 3959.00 2095.00 1895.00 3547.00 31450.00 141594.00
2.82 54518.00 15333.00 6455.00 3895.00 4456.00 2120.00 2009.00 3266.00 24546.00 122777.00
2.85 49570.00 14268.00 10275.00 6491.00 5179.00 1845.00 1524.00 2581.00 20560.00 119137.00
2.88 48701.00 10419.00 11311.00 5868.00 5015.00 1730.00 1367.00 2169.00 18968.00 118734.00
2.91 51466.00 10138.00 9727.00 5261.00 5249.00 1956.00 1359.00 1932.00 15764.00 102262.00
2.94 64856.00 9940.00 8406.00 4816.00 4939.00 1822.00 1195.00 1650.00 14963.00 96339.00
2.97 64203.00 9049.00 7156.00 3258.00 3683.00 1324.00 1025.00 1459.00 12447.00 85387.00
